graph,algorithm,threads,i_refs,i1_misses,i1_miss_rate,lli_misses,d_refs,d1_misses,d1_miss_rate,lld_misses,ll_refs,ll_misses,ll_miss_rate
cit-Patents,dijkstra,1,75818764817,2086,2.751297788924516e-08,2067,27551434887,159837888,0.005801436065147324,76866878,159839974,76868945,0.4809118962944776
cit-Patents,dsa,1,75882033940,2648,3.489627073114271e-08,2588,27560631831,160970994,0.00584061334250476,77918254,160973642,77920842,0.48405963257015705
cit-Patents,dsa,4,76349866468,2882,3.774728278284433e-08,2793,27627807210,160979421,0.0058267172554227475,77931936,160982303,77934729,0.4841198538450528
cit-Patents,dsa,16,78786434361,2925,3.712568062920108e-08,2841,27975870974,160993068,0.005754711556598988,77941173,160995993,77944014,0.48413635984095577
cit-Patents,dsa,64,88456482661,2940,3.323668216909817e-08,2857,29358307439,161048375,0.005485615113698994,77950413,161051315,77953270,0.48402752874138283
cit-Patents,wasp,1,75908550662,2588,3.4093655819140265e-08,2512,27806658845,161811123,0.005819150150399884,76869229,161813711,76871741,0.4750632101874235
cit-Patents,wasp,4,75916971309,2795,3.681653722227261e-08,2683,27807848960,161810057,0.005818862769024476,76869471,161812852,76872154,0.4750682844401012
cit-Patents,wasp,16,75961520898,2795,3.6794945216448263e-08,2682,27814207980,161812045,0.005817603906476578,76869844,161814840,76872526,0.4750647468427494
cit-Patents,wasp,64,76138001908,2801,3.678846213201836e-08,2689,27839202024,161811887,0.005812375184479174,76871085,161814688,76873774,0.47507290561904986
com-orkut.ungraph,dijkstra,1,503167482132,2090,4.15368654417877e-09,2078,178839425607,1539972815,0.008610924631261641,575287830,1539974905,575289908,0.3735709628333197
com-orkut.ungraph,dsa,1,506949932420,2686,5.298353601070592e-09,2642,180493853910,1849159198,0.010244998142274971,675729575,1849161884,675732217,0.36542620894731787
com-orkut.ungraph,dsa,4,507166487372,2912,5.74170429731901e-09,2862,180532982501,1849144008,0.010242693508870365,675817573,1849146920,675820435,0.3654768735196011
com-orkut.ungraph,dsa,16,507786435751,2946,5.8016516247484236e-09,2887,180623749203,1849092674,0.010237262166016916,599721890,1849095620,599724777,0.32433410717829725
com-orkut.ungraph,dsa,64,512716134669,2948,5.749770293269928e-09,2889,181334776569,1849452196,0.01019910372953895,600004052,1849455144,600006941,0.3244236244098927
com-orkut.ungraph,wasp,1,545859595584,2640,4.836408522186987e-09,2588,241084091853,5686565295,0.023587476267274237,486969971,5686567935,486972559,0.08563558275682501
com-orkut.ungraph,wasp,4,545869151576,2864,5.2466786073754756e-09,2809,241085461686,5686602901,0.023587498230840956,486970397,5686605765,486973206,0.08563512684442263
com-orkut.ungraph,wasp,16,545926016303,2857,5.2333098527664e-09,2806,241095550597,5686680855,0.02358683451817613,574534236,5686683712,574537042,0.1010320023228329
com-orkut.ungraph,wasp,64,546190745765,2860,5.236265942210823e-09,2809,241133274920,5686661651,0.0235830648129614,574478470,5686664511,574481279,0.10102253753298653
soc-LiveJournal1,dijkstra,1,296068656721,2093,7.0693062318053356e-09,2081,106202238645,445626508,0.00419601802829775,217791290,445628601,217793371,0.48873292807343843
soc-LiveJournal1,dsa,1,294347721744,2694,9.152440467478884e-09,2649,105896787393,537083146,0.0050717605247720884,261491876,537085840,261494525,0.4868765949964348
soc-LiveJournal1,dsa,4,295403087926,2955,1.0003280672340983e-08,2899,106060848388,536601685,0.005059375756046776,261071383,536604640,261074282,0.4865300493860806
soc-LiveJournal1,dsa,16,301123748313,2981,9.899584528621868e-09,2925,106896337919,537292232,0.005026292223472891,261837439,537295213,261840364,0.48733053573659885
soc-LiveJournal1,dsa,64,323867044703,2955,9.124114504178287e-09,2899,110141686327,537102946,0.004876472876994033,261549436,537105901,261552335,0.4869660424751133
soc-LiveJournal1,wasp,1,339937030103,2620,7.707309789716488e-09,2574,155683705916,6286921113,0.0403826532520503,215062055,6286923733,215064629,0.03420824526168942
soc-LiveJournal1,wasp,4,339942200959,2827,8.31611959922846e-09,2779,155684451707,6286820896,0.04038181608418978,215061541,6286823723,215064320,0.03420874029173094
soc-LiveJournal1,wasp,16,339996015709,2835,8.338333006897514e-09,2785,155691385143,6286930046,0.040380718818999246,215055181,6286932881,215057966,0.034207135668639886
soc-LiveJournal1,wasp,64,340216590419,2842,8.353502092593082e-09,2792,155718852508,6286777213,0.040372614566222924,214853856,6286780055,214856648,0.03417594477941379
soc-pokec-relationships,dijkstra,1,127342805330,2075,1.6294599405304305e-08,2061,45928169135,200713975,0.004370171482560667,55225892,200716050,55227953,0.2751546425908641
soc-pokec-relationships,dsa,1,126970930473,2642,2.080791241080031e-08,2595,45913662069,245693673,0.005351210553206722,68959118,245696315,68961713,0.2806786621932038
soc-pokec-relationships,dsa,4,127908070706,2906,2.27194420489659e-08,2847,46056620184,245741716,0.005335643714589598,68990365,245744622,68993212,0.2807516658492734
soc-pokec-relationships,dsa,16,127403062954,2929,2.2990028120890165e-08,2869,45983110193,245810654,0.005345672638677227,69013706,245813583,69016575,0.28076794682253176
soc-pokec-relationships,dsa,64,128619802326,2936,2.2826967130290005e-08,2876,46162957221,245958750,0.005328054457657467,69089739,245961686,69092615,0.280908039474083
soc-pokec-relationships,wasp,1,141669188170,2585,1.8246734052700685e-08,2539,70160352197,1218744986,0.017370850456650253,70938819,1218747571,70941358,0.05820840975444291
soc-pokec-relationships,wasp,4,141677403496,2795,1.9727916598068596e-08,2745,70161529808,1218750426,0.017370636434740835,70939172,1218753221,70941917,0.05820859857239302
soc-pokec-relationships,wasp,16,141715392978,2795,1.9722628158212127e-08,2745,70166933529,1218742171,0.01736918103306159,70937117,1218744966,70939862,0.05820730667945175
soc-pokec-relationships,wasp,64,141918536171,2794,1.9687350753346715e-08,2744,70196438524,1218756335,0.017362082188590096,70932326,1218759129,70935070,0.058202698393900604
