graph,config,threads,n,mean_ms,std_ms,median_ms,min_ms,p90_ms
cit-Patents,dijkstra,1,10,15.098764599999999,0.03458435475824943,15.097968000000002,15.045725,15.138738
cit-Patents,dsa,1,10,17.7511781,0.06717832459365956,17.778409500000002,17.646939,17.807845
cit-Patents,dsa,2,10,10.0912437,0.05661994441900414,10.0829195,10.009602,10.159615
cit-Patents,dsa,4,10,6.6331077,0.09098844459606466,6.6487490000000005,6.42718,6.715938
cit-Patents,dsa,8,10,5.0559264,0.05182074152992329,5.03991,4.997853,5.120859
cit-Patents,dsa,16,10,5.1554979,0.08501308467975188,5.147743999999999,5.022924,5.249217
cit-Patents,dsa,32,10,4.8327909,0.08777680635243769,4.813185,4.681308,4.962061
cit-Patents,dsa,64,10,7.7195652,0.2730147322947161,7.6515525,7.424217,8.037128
cit-Patents,wasp,1,10,7.1626157,0.02891181568936052,7.1527735,7.13556,7.206528
cit-Patents,wasp,2,10,8.1551451,0.0852589676761989,8.163461,7.973579,8.229764
cit-Patents,wasp,4,10,4.8149538,0.12484886477728886,4.771228,4.704003,4.881702
cit-Patents,wasp,8,10,3.1223732,0.10113572762909591,3.07765,2.988031,3.240041
cit-Patents,wasp,16,10,2.1742143,0.04675074457648302,2.1729495,2.10424,2.214582
cit-Patents,wasp,32,10,1.4722953,0.03763388291907526,1.4799125000000002,1.39979,1.507834
cit-Patents,wasp,64,10,1.1945621,0.08834209979952304,1.184671,1.097753,1.261218
