graph,config,time_ms_norr,time_ms_rr,d1_miss_norr,d1_miss_rr,ll_miss_norr,ll_miss_rr
cit-Patents,dijkstra,19.9594229,14.7961639,0.0008041509599168666,0.005801247864312597,0.9709947967548217,0.48092690860844955
cit-Patents,dsa_t32,5.7845334,5.4070179,0.0008446322446458738,0.005798042087894795,0.9669856791458531,0.4840758548581671
cit-Patents,wasp_t32,1.6443056,1.6932964,0.0008752158167179976,0.005817883574995567,0.8829718397130643,0.4750293110981255
com-orkut.ungraph,dijkstra,3998.4401773,3973.7545095,0.0045811280711271175,0.00861119698036822,0.3822115584239299,0.31623595518528186
com-orkut.ungraph,dsa_t32,406.9869496,379.8399228,0.006198444298858787,0.010232681061003635,0.38240242541329367,0.32441872772408503
com-orkut.ungraph,wasp_t32,216.2184322,215.6448111,0.020819803947821104,0.023586748956113696,0.0620622750037694,0.08562059976783544
soc-LiveJournal1,dijkstra,2520.5085203,2395.9345843,0.0014729291488302964,0.004195770719536719,0.6367522331582882,0.4418934644005098
soc-LiveJournal1,dsa_t32,299.352163,245.5926699,0.002284099970305135,0.0050617332863468695,0.5727525714959592,0.4402485533302972
soc-LiveJournal1,wasp_t32,109.30625309999999,113.590905,0.03932693919920131,0.04038115049498215,0.015231235376279744,0.03077829895049218
soc-pokec-relationships,dijkstra,716.7958582,724.1165223,0.0015908059282493693,0.004445359599876113,0.5106773168845582,0.3091683394817845
soc-pokec-relationships,dsa_t32,84.29131050000001,84.4815921,0.0025971997893006497,0.005426468788463931,0.45156283329490454,0.31803913698217623
soc-pokec-relationships,wasp_t32,43.6330428,41.8123756,0.015733250523171056,0.017368419873630286,0.03381454646892373,0.05212773440227389
